block_size,accuracy,time
1000,0.7997476383726085,1.740258699999913
2000,0.8794973229205743,2.3347166999999445
3000,0.8986290625106572,3.007047400000147
4000,0.900879855403608,3.5380665000000135
5000,0.9024315383828394,4.145527499999844
6000,0.9257238345326194,4.7843001999999615
7000,0.9306176039286567,5.360751500000106
8000,0.933840330116291,5.853401900000108
9000,0.9367902329229615,6.277403000000049
10000,0.9399959076492855,7.194814299999962
11000,0.9399959076492855,7.459599600000047
12000,0.9399959076492855,8.122547299999951
13000,0.9399959076492855,8.680534999999963
14000,0.9399959076492855,9.340335200000027
15000,0.9399959076492855,9.818032899999935
16000,0.9399959076492855,10.876428499999975
17000,0.9399959076492855,11.346969000000172
18000,0.9399959076492855,11.87440719999995
19000,0.9399959076492855,12.358273199999985
20000,0.9399959076492855,13.023741700000073
