block_size,accuracy,time
1000,0.6743511918971455,0.5737741000000369
2000,0.7820141186099648,0.5439338999999563
3000,0.8384203526242199,0.5513875000000326
4000,0.8448999079221089,0.5428701000000729
5000,0.855096681785629,0.5805917000000136
6000,0.8693517034409849,0.5494721000000027
7000,0.8742454728370221,0.5789091999999982
8000,0.8824813286498653,0.5472359999999981
9000,0.8873580465845923,0.5599707999999737
10000,0.889080244176926,0.5516347000000223
11000,0.887409200968523,0.5588633999999502
12000,0.8863861132899089,0.5537424999999985
13000,0.8887051120281008,0.5346078000000034
14000,0.8854653343791563,0.5443585000000439
15000,0.884425195239232,0.547979899999973
16000,0.8858916209119122,0.583022700000015
17000,0.8864372676738397,0.556746999999973
18000,0.8880571564983119,0.5552710000000616
19000,0.8885175459536883,0.553558399999929
20000,0.889080244176926,0.5512047999999368
